NO;BRANCH;SITE ID;SITE NAME;CHANNEL TYPE;GRADE STORE;GOLD;SILVER;BROWN;TOTAL;GOLD;SILVER;TOTAL
538;MEDAN;C049991550;ELECTRONIC CITY MEGA MALL BATAM;MODERN;B1;;;1; 1 ; 119.954.777 ; 70.184.061 ; 190.138.838 
539;SURABAYA;C051071544;PERDANA PAKUWON;TRADITIONAL;A;;;1; 1 ; 149.382.642 ; 6.061.331 ; 155.443.973 
540;PEKANBARU;C051531540;ELECTRONIC CITY LIVING WORLD PEKANBARU;MODERN;B1;;;1; 1 ; 27.318.253 ; 48.247.026 ; 75.565.279 
541;JAKARTA;C051591612;PIXEL STORE TANGERANG;TRADITIONAL;A;1;1;; 2 ; 301.728.507 ; 464.356.999 ; 766.085.506 
542;BANDUNG;C052001932;YOGYA JUNCTION SUMBER SARI;TRADITIONAL;B3;;;1; 1 ; 360.092.848 ; 75.632.568 ; 435.725.416 
543;SURABAYA;C052741599;SBC NGORO JOMBANG;TRADITIONAL;B1;;;1; 1 ; 118.191.388 ; 123.732.443 ; 241.923.831 
544;SAMARINDA;C052971542;M & R ELEKTRONIK BALIKPAPAN;TRADITIONAL;B1;;;1; 1 ; 122.182.313 ; 129.907.932 ; 252.090.245 
545;MAKASSAR;C053061638;ELECTRONIC CITY NIPAH MALL MAKASSAR;MODERN;C1;;;1; 1 ; 122.454.844 ; 80.203.904 ; 202.658.748 
546;JAKARTA KAM;C053061639;ELECTRONIC CITY GREEN PRAMUKA SQUARE;MODERN;A;;;1; 1 ; 141.554.420 ; 96.199.926 ; 237.754.346 
547;JAKARTA KAM;C053411570;BEST DENKI EMPORIUM PLUIT MALL;MODERN;B1;1;1;; 2 ; 328.501.398 ; 84.998.576 ; 413.499.974 
548;JAKARTA KAM;C053411571;BEST DENKI SUPERMALL KARAWACI;MODERN;B3;;;1; 1 ; 138.218.638 ; 20.442.834 ; 158.661.472 
549;SURABAYA;C053781605;UFO TULUNGAGUNG;TRADITIONAL;B1;1;1;; 2 ; 353.164.959 ; 227.478.905 ; 580.643.864 
550;MAKASSAR;C053901692;MAXI STORE ALAUDDIN;TRADITIONAL;A;1;1;; 2 ; 310.646.355 ; 288.516.517 ; 599.162.872 
551;BALI;C055451557;NEW BALI ELECTRONICS CENTER;TRADITIONAL;B1;1;1;; 2 ; 364.019.049 ; 152.518.847 ; 516.537.896 
552;SURABAYA;C056001535;CARREFOUR TRANSMART MALANG;MODERN;B3;;;1; 1 ; 38.863.772 ; 13.095.295 ; 51.959.067 
553;JAKARTA KAM;C056111546;ELECTRONIC CITY TANGERANG CITY;MODERN;B1;1;1;; 2 ; 255.172.535 ; 134.398.830 ; 389.571.365 
554;JAKARTA KAM;C056111547;ELECTRONIC CITY KOTA KASABLANKA;MODERN;B1;2;3;; 5 ; 491.119.381 ; 187.543.876 ; 678.663.257 
555;JAKARTA KAM;C056441543;CARREFOUR TRANSMART JUANDA BEKASI;MODERN;B1;;;1; 1 ; 43.227.443 ; 8.546.924 ; 51.774.367 
556;JAKARTA KAM;C056441544;CARREFOUR TRANSMART CIBUBUR;MODERN;B1;;;1; 1 ; 77.909.131 ; 9.443.651 ; 87.352.782 
557;MAKASSAR;C058111561;ELECTRONIC CITY PANAKUKANG MAKASSAR;MODERN;B1;;;1; 1 ; 113.954.955 ; 21.520.028 ; 135.474.983 
558;PALEMBANG;C058241560;CARREFOUR TRANSMART JAMBI;MODERN;B1;;;1; 1 ; 94.318.555 ; 14.880.524 ; 109.199.079 
559;JAKARTA KAM;C058681585;BEST DENKI GANDARIA CITY;MODERN;B1;1;1;; 2 ; 118.409.629 ; 56.500.049 ; 174.909.678 
560;SAMARINDA;C058801549;NUANSA BERAU;TRADITIONAL;B1;;;1; 1 ;;;
561;BALI;C058801550;GRAND BUMI MAS DENPASAR;TRADITIONAL;B1;1;1;; 2 ; 558.557.156 ; 290.029.775 ; 848.586.931 
562;PEKANBARU;C059071599;BATAM ELEKTRONIK MANDAU;TRADITIONAL;B1;;;1; 1 ; 154.046.086 ; 129.018.760 ; 283.064.846 
563;MEDAN;C059891562;IRAMA HOUSEWARE MEDAN;TRADITIONAL;B1;;;1; 1 ; 102.618.457 ; 158.634.274 ; 261.252.731 
564;YOGYAKARTA;C060741546;A.TAKRIB SLEMAN CITY HALL;TRADITIONAL;B1;1;1;; 2 ; 11.000.067 ; 36.428.381 ; 47.428.448 
565;PALEMBANG;C061281611;ELECTRONIC CITY OPI MALL PALEMBANG;MODERN;B1;;;1; 1 ;;;
566;JAKARTA KAM;C061281612;ELECTRONIC CITY CIBINONG CITY MALL;MODERN;B1;1;1;; 2 ; 138.218.638 ; 20.442.834 ; 158.661.472 
;;;;;;;;;;;;
